timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684620481680,2,Home,200,OK,Thread Group 1-1,text,true,,1497,253,4,4,http://localhost:8080/jpetstore/,1,0,1
1684620481680,1,Home-0,302,Found,Thread Group 1-1,,true,,146,126,4,4,http://localhost:8080/jpetstore,1,0,1
1684620481681,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,1,0,0
1684620482097,1,Home,200,OK,Thread Group 1-2,text,true,,1497,253,5,5,http://localhost:8080/jpetstore/,1,0,0
1684620482097,1,Home-0,302,Found,Thread Group 1-2,,true,,146,126,5,5,http://localhost:8080/jpetstore,1,0,0
1684620482098,0,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,0,0,0
1684620482445,1,Home,200,OK,Thread Group 1-3,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,0,0,0
1684620482445,0,Home-0,302,Found,Thread Group 1-3,,true,,146,126,6,6,http://localhost:8080/jpetstore,0,0,0
1684620482446,0,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,0,0,0
1684620482846,1,Home,200,OK,Thread Group 1-4,text,true,,1497,253,7,7,http://localhost:8080/jpetstore/,1,0,0
1684620482846,1,Home-0,302,Found,Thread Group 1-4,,true,,146,126,7,7,http://localhost:8080/jpetstore,1,0,0
1684620482847,0,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,0,0,0
1684620483266,1,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,149,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620483271,1,Home,200,OK,Thread Group 1-5,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,0,0,0
1684620483271,0,Home-0,302,Found,Thread Group 1-5,,true,,146,126,8,8,http://localhost:8080/jpetstore,0,0,0
1684620483271,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,1,0,0
1684620483657,2,Home,200,OK,Thread Group 1-6,text,true,,1497,253,9,9,http://localhost:8080/jpetstore/,1,0,1
1684620483657,1,Home-0,302,Found,Thread Group 1-6,,true,,146,126,9,9,http://localhost:8080/jpetstore,1,0,1
1684620483658,1,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,9,9,http://localhost:8080/jpetstore/,1,0,0
1684620483662,1,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,149,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620483990,2,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,149,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620484050,2,Home,200,OK,Thread Group 1-7,text,true,,1497,253,10,10,http://localhost:8080/jpetstore/,2,0,1
1684620484050,2,Home-0,302,Found,Thread Group 1-7,,true,,146,126,10,10,http://localhost:8080/jpetstore,2,0,1
1684620484052,0,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,0,0,0
1684620484441,1,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,149,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620484497,2,Home,200,OK,Thread Group 1-8,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,1,0,1
1684620484497,1,Home-0,302,Found,Thread Group 1-8,,true,,146,126,11,11,http://localhost:8080/jpetstore,1,0,1
1684620484498,1,Home-1,200,OK,Thread Group 1-8,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,1,0,0
1684620484782,2,Sign In,200,OK,Thread Group 1-1,text,true,,3925,545,12,12,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684620484868,1,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,149,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620484896,1,Home,200,OK,Thread Group 1-9,text,true,,1497,253,12,12,http://localhost:8080/jpetstore/,0,0,0
1684620484896,0,Home-0,302,Found,Thread Group 1-9,,true,,146,126,12,12,http://localhost:8080/jpetstore,0,0,0
1684620484896,1,Home-1,200,OK,Thread Group 1-9,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1684620485183,1,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,149,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620485249,2,Sign In,200,OK,Thread Group 1-2,text,true,,3921,545,13,13,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684620485264,1,Home,200,OK,Thread Group 1-10,text,true,,1497,253,13,13,http://localhost:8080/jpetstore/,1,0,0
1684620485264,1,Home-0,302,Found,Thread Group 1-10,,true,,146,126,13,13,http://localhost:8080/jpetstore,1,0,0
1684620485265,0,Home-1,200,OK,Thread Group 1-10,text,true,,1351,127,13,13,http://localhost:8080/jpetstore/,0,0,0
1684620485576,1,Sign In,200,OK,Thread Group 1-3,text,true,,3921,545,14,14,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620485606,1,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,149,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620485707,2,Home,200,OK,Thread Group 1-11,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,2,0,1
1684620485707,2,Home-0,302,Found,Thread Group 1-11,,true,,146,126,14,14,http://localhost:8080/jpetstore,2,0,1
1684620485709,0,Home-1,200,OK,Thread Group 1-11,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,0,0,0
1684620485974,3,Sign In,200,OK,Thread Group 1-4,text,true,,3921,545,15,15,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1684620486014,2,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,149,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620486097,1,Home,200,OK,Thread Group 1-12,text,true,,1497,253,15,15,http://localhost:8080/jpetstore/,1,0,0
1684620486097,1,Home-0,302,Found,Thread Group 1-12,,true,,146,126,15,15,http://localhost:8080/jpetstore,1,0,0
1684620486098,0,Home-1,200,OK,Thread Group 1-12,text,true,,1351,127,15,15,http://localhost:8080/jpetstore/,0,0,0
1684620486419,2,Sign In,200,OK,Thread Group 1-5,text,true,,3923,545,16,16,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684620486467,1,Home,200,OK,Thread Group 1-13,text,true,,1497,253,16,16,http://localhost:8080/jpetstore/,1,0,0
1684620486467,1,Home-0,302,Found,Thread Group 1-13,,true,,146,126,16,16,http://localhost:8080/jpetstore,1,0,0
1684620486468,0,Home-1,200,OK,Thread Group 1-13,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,0,0,0
1684620486478,1,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,149,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620486770,1,Sign In,200,OK,Thread Group 1-6,text,true,,3921,545,17,17,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620486818,1,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,149,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620486883,2,Home,200,OK,Thread Group 1-14,text,true,,1497,253,17,17,http://localhost:8080/jpetstore/,1,0,0
1684620486883,1,Home-0,302,Found,Thread Group 1-14,,true,,146,126,17,17,http://localhost:8080/jpetstore,1,0,0
1684620486884,1,Home-1,200,OK,Thread Group 1-14,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,1,0,0
1684620487133,1,Sign In,200,OK,Thread Group 1-7,text,true,,3923,545,18,18,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620487305,1,Home,200,OK,Thread Group 1-15,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,1,0,0
1684620487305,1,Home-0,302,Found,Thread Group 1-15,,true,,146,126,18,18,http://localhost:8080/jpetstore,1,0,0
1684620487306,0,Home-1,200,OK,Thread Group 1-15,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,0,0,0
